;Unnamed: 0;Nom;Type;Description;Produit(s);Détails produits;Détails conditionnement;Productions éligibles loi EGalim;Label(s);Autres(s) label(s);Agrément sanitaire;Mode de distribution;Lieu(x) de distribution;Zone de livraison possible;Détails distribution;Restauration collective;Commentaires;Contact(s);Adresse;Commune;Intercommunalité;Délégation;Mail;Site internet;Téléphone (1);Téléphone (2);x;y
17;18;EARL HUITRIC Producteur;Producteur;Production maraîchère Bio;Légumes;Tomates, salades, pomme de terre, courgettes, courges, aubergines, carottes, poireaux, poivrons, choux divers / ;;OUI;"ABeuro;ABfrance;";;Non concerné;Vente directe et via intermédiaire(s);;40km;FL44;J'approvisionne actuellement la restauration collective;;Jean-Baptiste HUITRIC;21 avenue des Noëlles;Guérande;CA de la Presqu'île de Guérande Atlantique (Cap Atlantique);Délégation Saint-Nazaire;scea.dubeslonneau@wanadoo.fr ;www.huitric-producteur.fr;02 40 62 00 60;;47.2927322;-2.3932675
18;19;SCA Les Salines de Guérande;Producteur;Production de sel ;Sel;Sel / ;;OUI;"ABfrance;";;Non renseigné;Non concerné;;Non renseigné;;Non renseigné;;;Pradel - CS 65315;Guérande;CA de la Presqu'île de Guérande Atlantique (Cap Atlantique);Délégation Saint-Nazaire;lsg@seldeguerande.com ;;02 40 62 01 25;;47.31655793396775;-2.452608703959664
19;20;GAEC La Ferme de Lévéra;Producteur;Production maraîchère Bio;Légumes;Poireaux, pommes de terre, citrouille, courge, salade, épinard, courgette, tomate, choux. / ;;OUI;"ABeuro;ABfrance;";;Non concerné;Non concerné;;Non renseigné;;J'approvisionne actuellement la restauration collective;;Dominique DAVID;Levera - La Madeleine;Guérande;CA de la Presqu'île de Guérande Atlantique (Cap Atlantique);Délégation Saint-Nazaire;lafermedelevera@orange.fr ;www.la-ferme-de-levera.com;"06 79 85 11 03
";06 79 85 21 05;47.3478698;-2.3631771
20;21;Les Ruchers du Pays Blanc;Producteur;Apiculteur ;Miel;Miel produit sur le parc de Brière / Miel de Brière / Miel de fleur de Printemps / Miel de Sarrasin / ;;NON;;;Non concerné;Vente directe;;0km;;J'approvisionne actuellement la restauration collective;;Alain Rey;3 rue de l'Océan - Pompas;Herbignac;CA de la Presqu'île de Guérande Atlantique (Cap Atlantique);Délégation Saint-Nazaire;arj@gmx.fr;www.lesruchersdupaysblanc.com;06 76 07 89 86;;47.4084554;-2.3571473
21;22;Les Vergers du Littoral;Producteur;Production de pommes Bio;Pommes;Pommes / ;;OUI;"ABeuro;ABfrance;";;Non concerné;Vente directe et via intermédiaire(s);;30km;FL44;J'approvisionne actuellement la restauration collective;;Sylvie JANNOT;"183, route de Guérande 
La Gassun";Herbignac;CA de la Presqu'île de Guérande Atlantique (Cap Atlantique);Délégation Saint-Nazaire;vergers.littoral@wanadoo.fr ;www.vergers-du-littoral.com;02 40 88 88 90;;47.4278595;-2.3343357
22;23;GAEC de la Grée;Producteur;Production maraîchère Bio;Légumes;Légumes de saison / ;;OUI;"ABeuro;ABfrance;";;Non concerné;Vente directe;;15km;;J'approvisionne actuellement la restauration collective;;Claudine et Yoan DAVID;La Grée de Landieul;Herbignac;CA de la Presqu'île de Guérande Atlantique (Cap Atlantique);Délégation Saint-Nazaire;joseph.david@hotmail.fr;;06 07 67 75 92;;47.4417465;-2.3647118
23;24;Burban Producteur;Producteur;Production et transformation de fruits et de légumes;Fruits et produits dérivés;"Fraises, Framboises, Fruits Rouges / Pommes de Terre Nouvelles, Melons / Confiture de Fraises, de Framboises, de Framboises épépinnées
Coulis de Fraises, de Framboises / Sirop de Fraises, de Framboises / ";Barquettes, Vrac, CongelésAu kilo ou à la piècePar paquet de six unitésPar paquet de six unités;NON;;;Non concerné;Vente directe;;100km;;Je souhaite approvisionner la restauration collective;;Stéphane et Xavier BURBAN;Trologo;La Baule-Escoublac;CA de la Presqu'île de Guérande Atlantique (Cap Atlantique);Délégation Saint-Nazaire;contact@burbanproduction.fr;www.lafraisedelabaule.fr;06 07 78 30 70;;47.2896147;-2.3325133
24;25;Les vergers de la Côte d'Amour;Producteur;Production de fraises, asperges et pommes de terre;Fruits;Fruits à pépins / ;;OUI;"ABfrance;";;Non renseigné;Non concerné;;Non renseigné;Directe ou marchés;Non renseigné;; Patrick SECHE;25 avenue des Elfes;La Baule-Escoublac;CA de la Presqu'île de Guérande Atlantique (Cap Atlantique);Délégation Saint-Nazaire;leportjean@orange.fr ? / ;https://www.fraise-labaule.fr/;02 40 60 38 60;06 74 83 28 47;47.2825114;-2.3638432
25;26;Charcuterie Traiteur des Marais;Producteur;Artisan charcutier traiteur;Viandes, charcuteries, produits traiteurs;Bœuf de Brière / Porc, charcuteries fraîches / Morceaux variés / Viande de volaille et de lapin / ;;NON;;BBC;Non renseigné;Vente directe;;Non renseigné;;J'approvisionne actuellement la restauration collective;;Frédéric SOUTON;8 rue de la Bascule;La Chapelle-des-Marais;CA de la Région Nazairienne et de l'Estuaire (Carene);Délégation Saint-Nazaire;soutonfrederic@gmail.com;www.traiteur-des-marais.com;02 40 53 20 02;06 63 49 95 23;47.4474911;-2.2408253
26;27;GAEC La Ruche à Pain;Producteur;Boulangerie paysanne Bio;Céréales et pain;Blé tendre et blé noir (sarrasin) / Pain de campagne, demi-complet, complet, 5 céréales, pain au lin, pain au sésame, pain aux raisins et noisettes / ;;OUI;"ABeuro;ABfrance;";;Non concerné;Vente directe et via intermédiaire(s);;30km;Biocoop;J'approvisionne actuellement la restauration collective;;Stéphanie OUISSE;19 La Feuillé;La Chapelle-Launay;CC Estuaire et Sillon;Délégation Saint-Nazaire;larucheapain@wanadoo.fr ;www.larucheapain.fr;02 40 58 74 41;;47.3842276;-1.9572616
27;28;SA Stephan;Distributeur;Mareyage, expédition;Poissons;Merlu, Thon, Sardines et autres poissons locaux frais / ;;NON;;;Détenteur d'une dérogation;Via intermédiaire(s);;Non renseigné;transporteurs marée;Je souhaite approvisionner la restauration collective;;Caroline STEPHAN;Port de pêche magasin 7;La Turballe;CA de la Presqu'île de Guérande Atlantique (Cap Atlantique);Délégation Saint-Nazaire;stephanmaree@orange.fr;Facebook SA Stephan;02 40 11 81 00;;47.34720624767652;-2.513616224507701
28;29;Annapau France SARL;Distributeur;Mareyage, expédition de produits de la pêche artisanale;Poissons et moules;Merlu, Thon, Sardines et autres poissons locaux frais / Moules / ;;NON;"CCP;";;Détenteur d'une dérogation;Via intermédiaire(s);;1000km;transporteurs ;Je souhaite approvisionner la restauration collective, ultérieurement;;David LUBERT;Port de pêche box n°2;La Turballe;CA de la Presqu'île de Guérande Atlantique (Cap Atlantique);Délégation Saint-Nazaire;annapau-france@orange.fr;www.annapau-france.com;07 84 45 61 02;;47.34720624767652;-2.513616224507701
29;30;SARL La Ferme du Bois de Boulle;Producteur;Production et transformation de viande de lapin;Viande de lapin;Lapin entier, rables, cuisses, épaules, sauté, saucisse, lapin désossé à plat, escalopes de lapin  / ;;NON;;;Détenteur d'une dérogation;Vente directe;;100km;;J'approvisionne actuellement la restauration collective;;Sébastien BIGOT;20 allée du Bois de Boulle;La Turballe;CA de la Presqu'île de Guérande Atlantique (Cap Atlantique);Délégation Saint-Nazaire;fermeduboisdeboulle@wanadoo.fr ;www.lafermeduboisdeboulle.fr;02 40 23 34 99;;47.3698017;-2.4793987
30;31;SARL Atlantique Délices;Producteur;;Crèpes et galettes;;;NON;;;Non renseigné;Non renseigné;;Non renseigné;;Non renseigné;;;9 rue de Passy;Malville;CC Estuaire et Sillon;Délégation Saint-Nazaire;;;02 40 56 02 16;;47.3491442;-1.8692152
31;32;BROSSEAU;Producteur;Elevage volailles de chair;Volaille;Poulet, Pintade, rillettes, terrine / ;;NON;;;Détenteur d'une dérogation;Vente directe;;80km;;J'approvisionne actuellement la restauration collective;;Matthieu BROSSEAU;Meslon;Mesquer;CA de la Presqu'île de Guérande Atlantique (Cap Atlantique);Délégation Saint-Nazaire;matthieu.bro1@hotmail.fr;;06 71 87 58 09;;47.3819524;-2.4825245
32;33;EARL Le Riandon;Producteur;Elevage bovin et transformation;Viande bovine;Viande bovine race charolaise / ;;NON;;;Détenteur d'une dérogation;Vente directe;;30km;;Je souhaite approvisionner la restauration collective, ultérieurement;;Alain GUIHENEUF;Le Riandon;Missillac;CC du Pays de Pontchâteau Saint-Gildas-des-Bois;Délégation Saint-Nazaire;alain.guiheneuf910@orange.fr;;02 40 88 33 60;06 84 82 80 73;47.46519690928024;-2.144822745983955
33;34;Jardins de Brière;Producteur;Production de pommes Bio;Pommes;Pommes et poires;caisses de 14 kg;OUI;"ABeuro;ABfrance;";;Non concerné;Vente directe;;25km;;J'approvisionne actuellement la restauration collective;;Laure et Nicolas LOUAULT;Bovieux;Missillac;CC du Pays de Pontchâteau Saint-Gildas-des-Bois;Délégation Saint-Nazaire;laure.louault@vergers-de-briere.com;www.jardinsdebriere.com;02 40 88 30 61;;47.4837786;-2.1885455
34;35;GAEC Les Jardins de la Perrière;Producteur;Production maraîchère Bio;Légumes;Betterave, blette, carotte, navet, divers radis, divers choux, poireau, diverses courges, tomate, aubergine, poivron, courgette, concombre, épinard, salade / ;;OUI;"ABeuro;ABfrance;";;Non concerné;Vente directe;;5km;;Je souhaite approvisionner la restauration collective, ultérieurement;;Sébastien ROBERT;2 rue de l'Ile de Beaumard;Pontchâteau;CC du Pays de Pontchâteau Saint-Gildas-des-Bois;Délégation Saint-Nazaire;lesjardinsdelaperriere@orange.fr;les-jardins-de-la-perriere.000webhostapp.com;07 80 05 18 92;;47.4548248;-2.109637
35;36;LAPC ASSYA;Producteur;Traiteur;Poisson, viande de volaille, bovine, ovine;Viande bovine / Viande ovine / Viande de volaille / Poisson / ;;NON;;;Détenteur d'une dérogation;Vente directe;;60km;;Je souhaite approvisionner la restauration collective;;Soufiane BOUAZZI;18 rue Edemée Mariotte;Pontchâteau;CC du Pays de Pontchâteau Saint-Gildas-des-Bois;Délégation Saint-Nazaire;lapc.pontchateau@gmail.com;;06 87 38 49 28;;47.4160302909414;-2.0358774162965
36;37;Ferme de la Pierre de Py ? ;Producteur;Elevage bovin, transformation de produits laitiers;Produits laitiers, crèmes et glaces;;;NON;;;Non renseigné;Non renseigné;;Non renseigné;;Non renseigné;;Barthélémy LEROUX;2 Beaumard ? ;Pontchâteau;CC du Pays de Pontchâteau Saint-Gildas-des-Bois;Délégation Saint-Nazaire;;;06 26 38 37 98;;47.4555977;-2.1145401
37;38;ACCES REAGIS Chantier d'insertion;Producteur;Centre de réinsertion - Production et transformation de fruits, de légumes et de blé noir Bio;Pommes, légumes, blé noir, jus de pomme;Pommes / Légumes / Blé noir / Jus de pomme / ;;OUI;"ABeuro;ABfrance;";;Non concerné;Vente directe;;20km;;Je souhaite approvisionner la restauration collective, ultérieurement;;Jean-Pierre CAILLON;55 La Moutonnière;Prinquiau;CC Estuaire et Sillon;Délégation Saint-Nazaire;secretariat@acces-reagis.org ;;02 40 56 64 12;;47.399742499869966;-2.012997531122086
38;39;Yvon GUIGAND;Producteur;Production maraîchère Bio;Légumes;Betterave, carotte, chou blanc, chou rouge, courge bleu de Hongrie, courge butternut, courge muscade, courge potimarron rouge, autres courges / ;;OUI;"ABeuro;ABfrance;";;Non concerné;Vente directe;;50km;;Je souhaite approvisionner la restauration collective;;Yvon GUIGAND;3 rue de la Chataîgneraie;Prinquiau;CC Estuaire et Sillon;Délégation Saint-Nazaire;yvon.guigand@orange.fr;;02 40 56 60 11;;47.3673311;-2.0052862
39;40;Le Marilyn;Producteur;Restaurant;Produits issus de la carte du restaurant;Fromages / Flans,yaourts (maison),yaourts à boire,crèmes dessert / boeuf bourguignon,pot au feu,steaks hachés vbf / Poulet rotis,cuisinés en saucepoule au pot,dinde  / Hamburgers,quiches,croques,ratatouille,légumes cuisinés,salades de fruit,compotes / ;;NON;;;Non concerné;Vente directe;;20km;;Je souhaite approvisionner la restauration collective;;Charline ROUSSEAU;41 B avenue du Président Roosevelt;Saint-Brévin-les-Pins;CC du Sud-Estuaire;Délégation pays de Retz;charline.rousseau44@gmail.com;le-marilyn.eatbu.com;07 67 97 39 29;;47.229805;-2.1749842
40;41;Le Fournil de la Barre;Producteur;Elevage de volailles Bio, production de farine et de pains;Poulets, pain et farine;Poulets / Farines / Pains / ;;OUI;"ABeuro;ABfrance;";;Non concerné;Vente directe;;50km;;Je souhaite approvisionner la restauration collective, ultérieurement;;Fabienne CORBE;51 La Barre;Sainte-Anne-sur-Brivet;CC du Pays de Pontchâteau Saint-Gildas-des-Bois;Délégation Saint-Nazaire;lefournildelabarre@hotmail.fr;fr-fr.facebook.com/pages/category/Farm/Le-fournil-de-la-barre-962050837177215;06 75 14 51 04;;47.4444701;-2.0452863
41;42;EARL Ferme de la Mer de l'Isle;Producteur;Elevage ovin et porcin Bio et transformation de produits laitiers;Fromages et yaourt de brebis, Viande de porc et d'agneau;Fromages et yaourt de brebis / Viande de porc / Viande d'agneau / ;;OUI;"ABeuro;ABfrance;";Nature et Progrès;Non renseigné;Vente directe et via intermédiaire(s);Vente à la ferme, marchés, magasins spécialisés;Non renseigné;;Non renseigné;;"Pierre VAN LIERDE
Héloïse DEBIERRE";La mer de l'Isle;Sainte-Anne-sur-Brivet;CC du Pays de Pontchâteau Saint-Gildas-des-Bois;Délégation Saint-Nazaire;lafermedelisle@gmail.com;www.ferme-de-la-mer-de-l-isle.com;"06 88 02 60 84
";02 40 91 84 08;47.46991681141705;-2.0244688805842093
42;43;Les Délices Gildasiens ;Producteur;Fabrication artisanale de crèpes et galettes;Crèpes et galettes;;;NON;;;Non renseigné;Non renseigné;;Non renseigné;;Non renseigné;;Mme Lasage;La Croix Daniel;Saint-Gildas-des-Bois;CC du Pays de Pontchâteau Saint-Gildas-des-Bois;Délégation Saint-Nazaire;isabelle.lesage44@orange.fr;;02 40 01 46 27;;47.5199782;-2.04614
43;44;Association marque Parc de Brière;Distributeur;Elevages bovins;Viande bovine;Tout produit / ;;OUI;"AOC;CCP;";;Détenteur d'une dérogation;Via intermédiaire(s);;100km;;J'approvisionne actuellement la restauration collective;;Dominique HEMERY;214 rue du Chef de l'Île;Saint-Joachim;CA de la Région Nazairienne et de l'Estuaire (Carene);Délégation Saint-Nazaire;alain.guiheneuf910@orange.fr;;02 40 91 68 68;;47.3714935;-2.2111237
44;45;Ferme de Kervy;Producteur;Elevage bovin et porcin Bio et transformation;Viande bovine et porcine;Bœuf, veau / Carcasse, maigre et charcuterie crue et cuite / ;;OUI;"ABeuro;ABfrance;";;Détenteur d'une dérogation;Vente directe;;80km;;Je souhaite approvisionner la restauration collective;;Philippe LOUDIERE;Kervy;Saint-Lyphard;CA de la Presqu'île de Guérande Atlantique (Cap Atlantique);Délégation Saint-Nazaire;fermedekervy@orange.fr;www.fermedekervy.sitew.fr;02 40 91 36 75;06 20 54 53 74;47.378632;-2.3097092
45;46;GAEC de Mézerac;Producteur;Elevage bovin et transformation de produits laitiers;Yaourts, fromages blancs, fromages, crèmes, beurres;Yaourts nature et aux fruits, fromages blancs, fromages, beurres, crèmes / ;;NON;;BBC;Détenteur d'une dérogation;Vente directe et via intermédiaire(s);;100km;"Laiterie du Grand Clos
Métro";J'approvisionne actuellement la restauration collective;;Jean-François COUE;146 Mézerac;Saint-Lyphard;CA de la Presqu'île de Guérande Atlantique (Cap Atlantique);Délégation Saint-Nazaire;contact@ferme-mezerac.fr; www.ferme-mezerac.fr;02 40 91 49 80;06 82 36 13 76;47.3929169;-2.3438781
46;47;GAEC LES CHEVRES DU BOIS NOZAY;Producteur;Elevage de chèvres Bio et transformation à la ferme de fromages et yaourts;"Formage de chèvre: fromage lactique et tomme; Desserts lactés de chèvre : yaourt nature";Fromage lactique frais et affiné, fromage blanc, yaourt / ;;OUI;"ABeuro;ABfrance;";;Détenteur d'une dérogation;Vente directe et via intermédiaire(s);A la ferme, magasins de producteurs, épiceries, marché, AMAP;15km;;Je souhaite approvisionner la restauration collective, ultérieurement;;Méthilde HERITEAU  et Maëva LE DANVIC;Le bois nozay;Saint-Lyphard;CA de la Presqu'île de Guérande Atlantique (Cap Atlantique);Délégation Saint-Nazaire;leschevresduboisnozay@gmail.com;;06 98 42 67 62;;47.3679096;-2.3305734
47;48;SCEA Guéno;Producteur;Production maraîchère;Légumes;Salade, courgette, chou fleur, chou frisé, chou rouge, chou blanc / ;;NON;;;Non concerné;Vente directe et via intermédiaire(s);;25km;"Bouyer-Guindon
FL44";J'approvisionne actuellement la restauration collective;;Nathalie GUENO;11 allée des Parcs des Genêts;Saint-Lyphard;CA de la Presqu'île de Guérande Atlantique (Cap Atlantique);Délégation Saint-Nazaire;scea.gueno@orange.fr;;"02 40 61 95 43
";06 72 75 38 50 ;47.3573708;-2.3741108
48;49;Labbé Simon ;Producteur;Artisan charcutier ;Charcuteries;Charcuteries : Langouilles, filet mignon cru fumé, saucisson à l’ail, saucisse (chipo, grosses etc…), boudin noir, jambon fumé à l’ancienne / ;;NON;;;Détenteur d'une dérogation;Vente directe et via intermédiaire(s);Partout;Non renseigné;Transporteurs (stef / transfrais);J'approvisionne actuellement la restauration collective;;Jean-Philippe RABU;ZA Le Pré Malou, 6 Rue Marcel Paul;Saint-Malo-de-Guersac;CA de la Région Nazairienne et de l'Estuaire (Carene);Délégation Saint-Nazaire;labbe.simon@orange.fr;https://labbe-simon.com;02 40 88 64 48;;47.33920268607384;-2.169440910306089
49;50;GAEC La Ferme des Isles Morice;Producteur;Elevage bovin;Viande bœuf et de veau;Viande de bœuf et de veau / ;;NON;;;Détenteur d'une dérogation;Vente directe;GMS, à la ferme;50 km;;Je souhaite approvisionner la restauration collective;;Nathalie MORICE et Samantha MORICE;Ferme de L'isle de la Croix - Kerhudal;Saint-Molf;CA de la Presqu'île de Guérande Atlantique (Cap Atlantique);Délégation Saint-Nazaire;lafermedesislesmorice@gmail.com;https://fr-fr.facebook.com/pages/category/Farm/La-Ferme-Des-%C3%8Eles-Morice-561161714256121/;06 75 49 66 14;;47.372213180597576;-2.4273456110987777
50;51;La Salorge de Rostu;Producteur;Production de sel;Sel;Sel de Guérande, fleur de sel de Guérande, gros sel et fleur aromatisé. / ;;OUI;"IGP;";Ecogarantie;Non concerné;Vente directe;;80km;;J'approvisionne actuellement la restauration collective;;Nicolas ARNOULD;Pen d'Hué;Saint-Molf;CA de la Presqu'île de Guérande Atlantique (Cap Atlantique);Délégation Saint-Nazaire;salorge@free.fr;;02 40 62 52 04;;47.40574798863111;-2.4107064480041505
51;53;La Parisienne ;Producteur;Charcuterie Traiteur;Viande porcine et volaille;Poitrines confites, jambon cuit, jambon york, saucisson à l'ail, pâté de campagne, saucisses, côtes de porc / Mousse de foie de canard, de volaille, pâté, poulet rôti, suprèmes / ;;NON;;;Détenteur d'une dérogation;Vente directe;;30km;;Je souhaite approvisionner la restauration collective;;Sandrine et Pascal PERROUIN;104 avenue de la République;Saint-Nazaire;CA de la Région Nazairienne et de l'Estuaire (Carene);Délégation Saint-Nazaire;laparisiennetraiteur@orange.fr;www.la-parisienne-traiteur.fr;02 40 22 45 77;;47.2827571;-2.2111507
